date,close,pct_change,label
2022-10-06,238.13,-1.11,negative
2022-10-05,240.81,-3.46,negative
2022-10-04,249.44,2.9,positive
2022-10-03,242.4,-8.61,negative
2022-09-30,265.25,-1.1,negative
2022-09-29,268.21,-6.81,negative
2022-09-28,287.81,1.72,positive
2022-09-27,282.94,2.51,positive
2022-09-26,276.01,0.25,positive
2022-09-23,275.33,-4.59,negative
2022-09-22,288.59,-4.06,negative
2022-09-21,300.8,-2.57,negative
2022-09-20,308.73,-0.11,negative
2022-09-19,309.07,1.89,positive
2022-09-16,303.35,-0.13,negative
2022-09-15,303.75,0.38,positive
2022-09-14,302.61,3.59,positive
2022-09-13,292.13,-4.04,negative
2022-09-12,304.42,1.58,positive
2022-09-09,299.68,3.6,positive
2022-09-08,289.26,1.96,positive
2022-09-07,283.7,3.38,positive
2022-09-06,274.42,1.56,positive
2022-09-02,270.21,-2.51,negative
2022-09-01,277.16,0.56,positive
2022-08-31,275.61,-0.75,negative
2022-08-30,277.7,-2.5,negative
2022-08-29,284.82,-1.14,negative
2022-08-26,288.09,-2.7,negative
2022-08-25,296.07,0.0,negative
2022-08-25,,-0.35,negative
2022-08-24,297.1,0.22,positive
2022-08-23,296.45,2.26,positive
2022-08-22,289.91,-2.28,negative
2022-08-19,296.67,-2.05,negative
2022-08-18,302.87,-0.37,negative
2022-08-17,304.0,-0.84,negative
2022-08-16,306.56,-0.89,negative
2022-08-15,309.32,3.1,positive
2022-08-12,300.03,4.68,positive
2022-08-11,286.63,-2.63,negative
2022-08-10,294.36,3.89,positive
2022-08-09,283.33,-2.44,negative
2022-08-08,290.42,0.78,positive
2022-08-05,288.17,-6.63,negative
2022-08-04,308.63,0.4,positive
2022-08-03,307.4,2.27,positive
2022-08-02,300.59,1.11,positive
2022-08-01,297.28,0.04,positive
2022-07-29,297.15,5.78,positive
2022-07-28,280.9,2.21,positive
2022-07-27,274.82,6.17,positive
2022-07-26,258.86,-3.57,negative
2022-07-25,268.43,-1.4,negative
2022-07-22,272.24,0.2,positive
2022-07-21,271.71,9.78,positive
2022-07-20,247.5,0.8,positive
2022-07-19,245.53,2.07,positive
2022-07-18,240.55,0.2,positive
2022-07-15,240.07,0.74,positive
2022-07-14,238.31,0.54,positive
2022-07-13,237.04,1.7,positive
2022-07-12,233.07,-0.54,negative
2022-07-11,234.34,-6.55,negative
2022-07-08,250.76,2.54,positive
2022-07-07,244.54,5.53,positive
2022-07-06,231.73,-0.57,negative
2022-07-05,233.07,2.56,positive
2022-07-01,227.26,1.24,positive
2022-06-30,224.47,-1.76,negative
2022-06-29,228.49,-1.79,negative
2022-06-28,232.66,-5.01,negative
2022-06-27,244.92,-0.32,negative
2022-06-24,245.71,4.53,positive
2022-06-23,235.07,-0.43,negative
2022-06-22,236.09,-0.4,negative
2022-06-21,237.04,9.36,positive
2022-06-17,216.76,1.72,positive
2022-06-16,213.1,-8.54,negative
2022-06-15,233.0,5.48,positive
2022-06-14,220.89,2.39,positive
2022-06-13,215.74,-7.1,negative
2022-06-10,232.23,-3.12,negative
2022-06-09,239.71,-0.89,negative
2022-06-08,241.87,1.25,positive
2022-06-07,238.89,0.26,positive
2022-06-06,238.28,1.6,positive
2022-06-03,234.52,-9.22,negative
2022-06-02,258.33,4.68,positive
2022-06-01,246.79,-2.36,negative
2022-05-31,252.75,-0.18,negative
2022-05-27,253.21,7.33,positive
2022-05-26,235.91,7.43,positive
2022-05-25,219.6,4.88,positive
2022-05-24,209.39,-6.93,negative
2022-05-23,224.97,1.66,positive
2022-05-20,221.3,-6.42,negative
2022-05-19,236.47,-0.05,negative
2022-05-18,236.6,-6.8,negative
2022-05-17,253.87,5.14,positive
2022-05-16,241.46,-5.87,negative
2022-05-13,256.53,5.71,positive
2022-05-12,242.67,-0.82,negative
2022-05-11,244.67,-8.25,negative
2022-05-10,266.68,1.64,positive
2022-05-09,262.37,-9.07,negative
2022-05-06,288.55,-0.87,negative
2022-05-05,291.09,-8.33,negative
2022-05-04,317.54,4.77,positive
2022-05-03,303.08,0.7,positive
2022-05-02,300.98,3.7,positive
2022-04-29,290.25,-0.77,negative
2022-04-28,292.5,-0.46,negative
2022-04-27,293.84,0.58,positive
2022-04-26,292.14,-12.18,negative
2022-04-25,332.67,-0.7,negative
2022-04-22,335.02,-0.37,negative
2022-04-21,336.26,3.23,positive
2022-04-20,325.73,-4.96,negative
2022-04-19,342.72,2.38,positive
2022-04-18,334.76,1.96,positive
2022-04-14,328.33,-3.66,negative
2022-04-13,340.79,3.59,positive
2022-04-12,328.98,1.13,positive
2022-04-11,325.31,-4.83,negative
2022-04-08,341.83,-3.0,negative
2022-04-07,352.42,1.1,positive
2022-04-06,348.59,-4.17,negative
2022-04-05,363.75,-4.73,negative
2022-04-04,381.82,5.61,positive
2022-04-01,361.53,0.65,positive
2022-03-31,359.2,-1.5,negative
2022-03-30,364.66,-0.51,negative
2022-03-29,366.52,0.71,positive
2022-03-28,363.95,8.04,positive
2022-03-25,336.88,-0.32,negative
2022-03-24,337.97,1.48,positive
2022-03-23,333.04,0.52,positive
2022-03-22,331.33,7.91,positive
2022-03-21,307.05,1.74,positive
2022-03-18,301.8,3.88,positive
2022-03-17,290.53,3.73,positive
2022-03-16,280.08,4.78,positive
2022-03-15,267.3,4.63,positive
2022-03-14,255.46,-3.64,negative
2022-03-11,265.12,-5.12,negative
2022-03-10,279.43,-2.41,negative
2022-03-09,286.32,4.19,positive
2022-03-08,274.8,2.46,positive
2022-03-07,268.19,-4.02,negative
2022-03-04,279.43,-0.12,negative
2022-03-03,279.76,-4.62,negative
2022-03-02,293.3,1.8,positive
2022-03-01,288.12,-0.7,negative
2022-02-28,290.14,7.48,positive
2022-02-25,269.96,1.14,positive
2022-02-24,266.92,4.81,positive
2022-02-23,254.68,-7.0,negative
2022-02-22,273.84,-4.14,negative
2022-02-18,285.66,-2.21,negative
2022-02-17,292.12,-5.09,negative
2022-02-16,307.8,0.1,positive
2022-02-15,307.48,5.33,positive
2022-02-14,291.92,1.83,positive
2022-02-11,286.67,-4.93,negative
2022-02-10,301.52,-2.95,negative
2022-02-09,310.67,1.09,positive
2022-02-08,307.33,1.61,positive
2022-02-07,302.45,-1.73,negative
2022-02-04,307.77,3.61,positive
2022-02-03,297.05,-1.6,negative
2022-02-02,301.89,-2.75,negative
2022-02-01,310.42,-0.58,negative
2022-01-31,312.24,10.68,positive
2022-01-28,282.12,2.08,positive
2022-01-27,276.37,-11.55,negative
2022-01-26,312.47,2.07,positive
2022-01-25,306.13,-1.25,negative
2022-01-24,310.0,-1.47,negative
2022-01-21,314.63,-5.26,negative
2022-01-20,332.09,0.06,positive
2022-01-19,331.88,-3.38,negative
2022-01-18,343.5,-1.82,negative
2022-01-14,349.87,1.75,positive
2022-01-13,343.85,-6.75,negative
2022-01-12,368.74,3.93,positive
2022-01-11,354.8,0.59,positive
2022-01-10,352.71,3.04,positive
2022-01-07,342.32,-3.54,negative
2022-01-06,354.9,-2.15,negative
2022-01-05,362.71,-5.35,negative
2022-01-04,383.2,-4.18,negative
2022-01-03,399.93,13.53,positive
2021-12-31,352.26,-1.27,negative
2021-12-30,356.78,-1.46,negative
2021-12-29,362.06,-0.21,negative
2021-12-28,362.82,-0.5,negative
2021-12-27,364.65,2.52,positive
2021-12-23,355.67,5.76,positive
2021-12-22,336.29,7.5,positive
2021-12-21,312.84,4.29,positive
2021-12-20,299.98,-3.5,negative
2021-12-17,310.86,0.61,positive
2021-12-16,308.97,-5.03,negative
2021-12-15,325.33,1.82,positive
2021-12-14,319.5,-0.82,negative
2021-12-13,322.14,-4.98,negative
2021-12-10,339.01,1.32,positive
2021-12-09,334.6,-6.1,negative
2021-12-08,356.32,1.64,positive
2021-12-07,350.58,4.23,positive
2021-12-06,336.34,-0.59,negative
2021-12-03,338.32,-6.42,negative
2021-12-02,361.53,-0.95,negative
2021-12-01,365.0,-4.35,negative
2021-11-30,381.59,0.68,positive
2021-11-29,379.0,5.09,positive
2021-11-26,360.64,-3.05,negative
2021-11-24,372.0,0.63,positive
2021-11-23,369.68,-4.13,negative
2021-11-22,385.62,1.74,positive
2021-11-19,379.02,3.71,positive
2021-11-18,365.46,0.68,positive
2021-11-17,363.0,3.25,positive
2021-11-16,351.58,4.08,positive
2021-11-15,337.8,-1.94,negative
2021-11-12,344.47,-2.83,negative
2021-11-11,354.5,-0.42,negative
2021-11-10,355.98,4.34,positive
2021-11-09,341.17,-11.99,negative
2021-11-08,387.65,-4.84,negative
2021-11-05,407.36,-0.64,negative
2021-11-04,409.97,1.32,positive
2021-11-03,404.62,3.57,positive
2021-11-02,390.67,-3.03,negative
2021-11-01,402.86,8.49,positive
2021-10-29,371.33,3.43,positive
2021-10-28,359.01,3.78,positive
2021-10-27,345.95,1.91,positive
2021-10-26,339.48,-0.63,negative
2021-10-25,341.62,12.66,positive
2021-10-22,303.23,1.76,positive
2021-10-21,298.0,3.26,positive
2021-10-20,288.6,0.18,positive
2021-10-19,288.09,-0.67,negative
2021-10-18,290.04,3.21,positive
2021-10-15,281.01,3.02,positive
2021-10-14,272.77,0.89,positive
2021-10-13,270.36,0.67,positive
2021-10-12,268.57,1.74,positive
2021-10-11,263.98,0.82,positive
2021-10-08,261.83,-1.02,negative
2021-10-07,264.54,,
